Spell Filter by Denny Edwards (denny.edwards@gmail.com)
A | B | C | D | E | F | G | H | I | J | K | L | M N | O | P | Q | R | S | T | U | V | W | X | Y | Z
0 | 1 | 2 | 3 | 4 | 5 | 6
To filter the table, enter text and press Enter. You can use '(first word|second word)' without the quotes to find either word.
Clear all filters





Spell Name	Level	M/F	Description	Source
As hold person, but the target is staggered rather than paralyzed .	SGG:110SV
Fool's Gold	1	 	 	TO:FF
Friendly Face	1	 	 	TO:FF
Glamour	1	
Caster becomes physically attractive.	RP:101-1
Guilt	1	
One evil target is denied an action.	RP:101-1
Heartache	1	 	 	TO:FF
Heat Lightning	1	
Vertical strokes of lightning deal 1d6 nonlethal damage +1/level (max +5), plus dazzle and set creatures on fire.	RP:101-1
Hesitation	1	
Target’s initiative count drops by your caster level (Swift).	RP:101-1
Hot Foot	1	

TO:FF
Malicious Intent	1	
Subjects take –1 or –2 on saves.	RP:101-1
Minor Lasting Image	1	
Creates permanent, tiny, immobile image.	RP:101-1
Missteps	1	
Subject’s speed and Dexterity are temporarily reduced.	RP:101-1
Pacifist	1	
Subject will avoid combat and casting spells that cause damage.
4W:BoDM
Pacifist	1	 	
TO:FF
Peephole	1	
Creates a small opening through a wooden, plaster, or stone wall.	RP:101-1
Pins and Needles	1	
Victim suffers a –1 circumstance penalty on all attack rolls and skill checks, and requires a Concentration check to cast spells.	RP:101-1
Protection from Monsters	1	
As protection from evil, but it works against creatures of one type rather than evil.	SGG:110SV
Scatterbrained	1	

TO:FF
Screech	1	
As acid splash but it deals 1d4 sonic damage, and you can expend 1 round of bardic performance per 2 levels to deal +1d4 damage.	SGG:110SV
Skill Lore	1	
Target gains an insight bonus of +1/two caster levels one skill check.	RP:101-1
Songstrike	1	
Cone of sonic energy inflicts 1d4 points of damage/three caster levels (Move).	RP:101-1
Sonic Dart	1	
Ranged touch attack inflicts 1d6 points of sonic damage (Move).	RP:101-1
Stunning Note	1	
Target stunned for 1 round (Move).	RP:101-1
Torchbearer	1	
You conjure a creature that carries a torch, sunrod, lantern or daylight spell.	RP:101-1
Unspeakable Tongue	1	
Target cannot speak intelligibly.	RP:101-1
White Noise	1	
Creates a loud sound and white light causing a –20 penalty to Perception checks.	RP:101-1
Beguile	2	
Target takes a -4 penalty on saves against enchantment and illusion spells and is dazzled.	RP:101-2
Break Object	2	
Inflicts damage and broken condition on a single object or damages a construct creature.	RP:101-2
Brightmatter	2	
Sticky phosphorescent mass sheds light where ifs attached.	RP:101-2
Contingent Light Healing	2	
Target that takes 4 or more damage instantly heals 1d8 hit points.	RP:101-2
Curse of Prevarication	2	
Subject can't tell the truth.	RP:101-2
Damage Loins	2	
Target takes 1d6 damage/2 levels, moves at half speed, becomes sickened for 1d4 rounds.	RP:101-2
Deathchant	2	
Chanting saps the life from living creatures.	RP:101-2
Delayed Reaction	2	

4W:BoDM
Delude Divination	2	
Divination attempts against target may fail and produce random results.	RP:101-2
Dimension Hop	2	
You, touched objects, and your familiar or companion teleport to any spot within close range.	RP:101-2
Disguise Wounds	2	
You cause the subject to appear resilient to various forms of damage.	RP:101-2
Distortion Field	2	
Grants total concealment against blindsight and tremorsense.	RP:101-2
Euphoria	2	
Target has attitude improved by one step and suffers a -2 penalty on saves against your enchantment spells.	RP:101-2
Exhaustion	2	
Target becomes exhausted.	RP:101-2
Expeditious Charge	2	
You temporarily are faster and more agile.	RP:101-2
Fit of Pique	2	
Force target to attack its ally.	RP:101-2
Flexarmor	2	
You reduce the armor check penalty and arcane spell failure chance for a single set of armor or a shield.	RP:101-2
Frigid Slowness	2	
Causes 1d4/level points of cold damage (max 10d4) and the target is slowed.	RP:101-2
Hesitate	2	
One subject per level goes last in the initiative order and does not take its first attack of opportunity each round.	RP:101-2
Insomnia	2	
Subject is unable to sleep, suffers from fatigue and is unable to heal naturally.	RP:101-2
Lifechant	2	
Your chanting renews living creatures.	RP:101-2
Memory Crystal	2	
Permanently store a memory in a crystal or gem.	RP:101-2
Memory of Love	2	

TO:FF
Mute	2	
Subject cannot produce sounds from its mouth.	RP:101-2
Nightsnare	2	
You cause a very deep, very short sleep to fall upon a target.	RP:101-2
Oathbind	2	
Willing participants immediately gain awareness that another party has violated the terms of a written contract.	RP:101-2
Obscure Text	2	
Magical or mundane writing appears illegible.	RP:101-2
One Track Mind	2	
Subject continually repeats last action.
4W:BoDM
One Track Mind	2	 	
TO:FF
Remove Charm	2	
As remove fear, but works against all mind-affecting effects.	SGG:110SV
Reverse Gender	2	 	
TO:FF
Scout's Hike	2	
Target receives +2 to Dex, +4 to Stealth checks, and base land speed increases by 10 feet.	RP:101-2
Shadow Sentry	2	
A shadowy warrior guards, patrols or attacks on your command.	RP:101-2
Silent Ray	2	
You emit a beam of supersonic vibrations causing 1d8 per level unheard sonic damage to one target.	RP:101-2
Slip of the Tongue	2	

TO:FF
Supernatural Ward	2	
Subject gains +4 bonus on saves against supernatural abilities (Immediate).	RP:101-1
Torn Muscle	2	
One living creature is flat-footed, cannot run, and suffers a -4 penalty to attacks, skills and ability checks.	RP:101-2
Touch Me Not	2	

TO:FF
Touch of History	2	

PFU:W4
Undetectable Poison	2	
Allows you to mask the presence of poisons.	RP:101-1
Vertigo	2	
You cause creatures to become dizzy to the point of being sickened and perhaps fall prone.	RP:101-2
Animal Mind	3	
Subject believes it’s a specific kind of animal.	RP:101-3
Aura of Peace	3	
Creatures near caster have combat penalties.	RP:101-3
Awesome Striker	3	
One melee attack per round knocks back foes.	RP:101-3
Beast’s Curse	3	
Target is incessantly hounded by animals.	RP:101-3
Beneficent Breeze	3	
Target’s movement is aided by friendly winds.	SGG:AM
Bonefiddle
3	 	Deal 2d6 nonlethal sonic damage per round
BP:VR
Choir	3	
As the ‘summon 1d3 monsters’ option of summon monster II, and creatures summoned can maintain a bardic performance you begin.	SGG:110SV
Corrosive Blood	3	
Piercing and slashing weapons take acid damage.	RP:101-3
Curse of Chaos	3	
Target suffers random changes each day to appearance, abilities, etc.	RP:101-3
Curse of Truth	3	
Target is incapable of speaking falsehoods.	RP:101-3
Deepsight	3	
Extend darkvision by 60 ft.	RP:101-3
Euphoria	3	
Subject feels good despite danger or pain.	RP:101-3
False Pain	3	
Target creature takes 1d6 nonlethal damage per round and suffers a –2 penalty on attack rolls, skill checks and ability checks.	RP:101-3
Frictionless Sheet	3	
Slippery liquid reduces movement cause creatures to fall prone.	RP:101-3
Glimpse of Knowledge	3	
Use a bard’s knowledge.	RP:101-3
Glossolalia	3	
Target’s speech becomes random and inappropriate.	RP:101-3
Hand of the Marksman	3	
Your firearm or crossbow attack is an automatic critical threat.	RP:101-3
Indecision	3	
Target delays action and must succeed on a Will save to take any actions.	RP:101-3
Indisputable Fact	3	
the subject believes something you tell them to believe.	RP:101-3
Intelligent Object	3	
Item gains semblance of intelligence.	RP:101-3
Lost	3	
Subject moves at half speed in a random direction each round.	RP:101-3
Magic Shop	3	
You conjure a sturdy merchant’s shop.	RP:101-3
Mocking Laughter	3	
Target takes 3d6 nonlethal damage, –4 penalty on attack rolls, saving throws, ability checks, and skill checks.	RP:101-3
Mute	3	
As silence, but effecting a single target.	SGG:110SV
Overconfidence	3	
Target takes a cumulative –2 penalty on all skill and ability checks.	RP:101-3
Phobia	3	
Subject develops a sudden and severe fear.
4W:BoDM
Phobia	3	 	
TO:FF
Plant Spy	3	
Turn a plant into a recording device.	RP:101-3
Psychic Twin	3	
You and target share skill ranks, neither can be surprised nor flanked unless both are.	RP:101-3
Remembrance	3	
You instantly recall something specific from your past that you want to remember.	RP:101-3
Secret Speech	3	
You and creatures you select conceal hidden messages in your normal speech.	RP:101-3
Shadow Healing	3	
Illusion of cure moderate wounds grants 2d8 temp hp plus 1 temp hp/level (max +10); target has attitude improved by one-step, takes –2 a penalty on saves against your enchantment spells.	RP:101-3
Shadow Sentry, Greater	3	
A shadowy warrior guards, patrols or attacks on your command.	RP:101-3
Surge	3	
Target creature gains +20 to initiative.	RP:101-3
Uncontrollable Rage	3	
Target gains rage bonuses and penalties but must attack nearest creature; attacks can cause targets to rage as well.	RP:101-3
Weapon of Nightmares	3	
You infuse a dagger with energy that delivers horrid visions that deal +1d8/level nonlethal damage and renders the victim unconscious.	RP:101-3
Weapons Storm	3	
You create force duplicates of your weapon that hit what you hit.	RP:101-3
Ice Mirror	4	

SGG:IM
Imbue with Skill	4	
As imbue with spell ability, but you grant the target skill ranks in one skill up to the target’s HD .	SGG:110SV
Scry Trap	5	
As alarm, but when the alarm goes off it automatically shows you a vision of the area alarmed, as the scry spell.	SGG:110SV
Speak with Vermin	5	
As speak with plants, but it works on vermin rather than plants .	SGG:110SV
Mass Modify Memory	6	
As modify memory, but effecting multiple targets. All targets get same memory.	SGG:110SV
Unconscious Agenda	6	

TO:FF
